"ID","Title","As a","I want","So that","Acceptance Criteria","Status","Linked WPs","Comments"
"US-011","Sanitize Terminal Commands from AI Agents","security-conscious developer","all terminal commands generated by the AI agent to be validated against a strict allowlist","the agent cannot execute malicious or destructive commands on my machine.","1. Only commands matching a predefined allowlist are permitted to run. 2. Commands attempting to use chaining (`&&`, `||`, `;`) are blocked. 3. Attempts to bypass the sanitizer through string fragmentation or variable injection are blocked. 4. Recursive file listing commands (`ls -R`, `dir /s`, `tree`, etc.) targeting protected zones are blocked.","Done","SAF-004, SAF-005, SAF-006","Covers SAF-004, SAF-005, SAF-006."
"US-012","Restrict AI Agent File Writes","security-conscious developer","the AI agent to be prohibited from creating, modifying, or deleting files outside the designated `Project/` directory","my workspace and local file system are protected from unintended changes.","1. All tool calls that write to the file system (e.g., `create_file`, `replace_string_in_file`) are intercepted. 2. If the target path for a write operation is outside the `Project/` directory, the operation is blocked. 3. The user is notified of the blocked write attempt.","Done","SAF-007","Covers SAF-007."
"US-013","Verify Integrity of Security Components","security-conscious developer","the system to verify that its own security files have not been tampered with","I can trust that the safety guardrails are active and unchanged.","1. On startup, the system calculates the SHA256 hash of `security_gate.py` and `settings.json`. 2. These hashes are compared against known-good values embedded in the application. 3. If a hash mismatch is detected, the application either refuses to run or alerts the user with a severe warning.","Done","SAF-008, SAF-011, SAF-033","Covers SAF-008."
"US-014","View Launcher Version","developer","to see the current version of the launcher in the application window","I can quickly confirm which release I am using before troubleshooting or updating","1. The main launcher window displays the currently installed launcher version in a visible non-editable location. 2. The displayed version matches the application version bundled in the installed build. 3. The version is shown when the launcher starts without requiring any user action. 4. If the version metadata cannot be read the UI shows a clear fallback state instead of a blank or broken value.","Done","GUI-008","Covers GUI-008."
"US-015","Check for Available Launcher Updates","developer","to be automatically notified when a newer version of the launcher is available","I can keep the launcher up to date without manually checking GitHub for new releases","1. On launch the app silently checks the GitHub Releases API for the latest version. 2. When a newer version is detected a non-blocking banner is shown in the UI. 3. A manual Check for Updates button triggers the same version-check flow. 4. No banner or error is shown if the app is already on the latest version.","Done","GUI-009, GUI-010, INS-009, FIX-018","Covers GUI-009, GUI-010, INS-009."
"US-016","Install Launcher Update from the App","developer","to download and install a launcher update directly from the application","I can upgrade to the latest version without leaving the app or manually downloading from GitHub","1. When an update is available the user can initiate a download from within the app. 2. The correct platform installer is downloaded to a temporary directory. 3. The integrity of the downloaded installer is verified before launch. 4. The installer is launched and the current launcher instance closes. 5. After the update the launcher restarts running the new version on all supported platforms.","Done","INS-010, INS-011","Covers INS-010, INS-011."
"US-017","Dynamic Workspace and Project Folder Naming","developer","the launcher to create workspace folders named `TS-SAE-{ProjectName}` with the internal working folder matching my project name instead of ""Project""","my workspaces are clearly identified and the project folder has a meaningful name","1. When the user enters project name ""MatlabDemo"" and selects a destination, the created root folder is named ""TS-SAE-MatlabDemo"". 2. Inside the created workspace, the working folder is named ""MatlabDemo"" instead of ""Project"". 3. The security gate dynamically identifies the project folder (the non-restricted folder) as the allowed zone. 4. All template documentation (README.md, copilot-instructions.md) dynamically references the correct project folder name. 5. Existing validation rules (no special characters, no duplicates, etc.) still apply to the project name. 6. The ""TS-SAE-"" prefix is automatically prepended - the user does not type it.","Done","GUI-015, GUI-016, GUI-017","v2.0.0 — Security audit remediation and workspace naming redesign"
"US-018","Deny-by-Default Security Model","security-conscious developer","ALL agent activity outside the project folder to be blocked by default with no ""ask"" zone","the security model is simple and robust - agents can only operate inside the designated project folder","1. The zone classifier uses a 2-tier model: ""allow"" for the project folder and ""deny"" for everything else. 2. The ""ask"" zone is eliminated - paths outside the project folder are denied, not asked. 3. .github/, .vscode/, and NoAgentZone/ remain explicitly denied as defense in depth. 4. The security gate auto-detects the project folder name and does not hardcode ""Project"". 5. Root-level workspace files outside any subfolder are denied. 6. All existing bypass protections, including path traversal and case variation handling, are maintained.","Done","SAF-012, SAF-013, FIX-069, SAF-032","v2.0.0 — Security audit remediation and workspace naming redesign"
"US-019","Maximum Agent Freedom in Project Folder","developer","AI agents to have unrestricted access to all terminal commands, file operations, and development tools when working inside the project folder","the development workflow is unimpeded and agents can perform routine tasks without constant approval prompts","1. All file tools, including read_file, create_file, replace_string_in_file, and multi_replace_string_in_file, targeting the project folder are auto-allowed. 2. Terminal commands targeting the project folder are auto-allowed, including Get-Content, Set-Content, Select-String, findstr, Rename-Item, Remove-Item, python -c, and pip commands. 3. Python virtual environment creation with python -m venv inside the project folder is allowed. 4. pip install inside an active project virtual environment is allowed, while global pip install is denied. 5. VS Code settings are configured to auto-approve file edit tools for the project folder. 6. No ask dialog is shown for any operation strictly confined to the project folder.","Done","SAF-014, SAF-015, SAF-016, SAF-017, SAF-018, SAF-019, SAF-029, SAF-030, SAF-031","v2.0.0 — Security audit remediation and workspace naming redesign"
"US-020","Close Terminal Wildcard Bypass Vulnerability","security-conscious developer","the security gate to detect and block wildcard and glob patterns in terminal commands that could resolve to restricted paths","the critical vulnerability discovered in the security audit is eliminated","1. Terminal commands using wildcards (*, ?) in path-like positions are detected. 2. Wildcards that could resolve to restricted zone paths, such as .g*, N*, or .v*, are blocked. 3. Piped commands, including Get-ChildItem .g* | Get-Content, are blocked. 4. The fix works across PowerShell, bash, and zsh. 5. Wildcards targeting only the project folder remain allowed. 6. Regression tests cover all wildcard bypass vectors from the security audit.","Done","SAF-020, SAF-021","v2.0.0 — Security audit remediation and workspace naming redesign"
"US-021","Close Search and Diagnostic Tool Leaks","security-conscious developer","NoAgentZone excluded from VS Code's search index and diagnostic tools blocked for restricted zone paths","agents cannot discover or read restricted content through search tools or diagnostic utilities","1. NoAgentZone is added to both files.exclude and search.exclude in VS Code settings. 2. grep_search without includePattern no longer returns NoAgentZone results. 3. file_search no longer reveals NoAgentZone file paths. 4. get_errors targeting restricted zone files is blocked by the security gate. 5. Root-level list_dir does not reveal restricted folder names or shows them as [RESTRICTED].","Done","SAF-022, SAF-023, FIX-042","v2.0.0 — Security audit remediation and workspace naming redesign"
"US-022","Generic Security Denial Messages","security-conscious developer","the security gate to use generic denial messages that do not reveal restricted zone names","rogue agents cannot learn which specific folders are protected","1. Deny messages do not contain .github, .vscode, or NoAgentZone names. 2. A generic message such as ""Access denied. This action has been blocked by the workspace security policy."" is used instead. 3. The generic message is consistent across all denial scenarios, including file tools, terminal, and search. 4. Existing logging and audit trail still record the actual reason internally without exposing it to the agent.","Done","SAF-024","v2.0.0 — Security audit remediation and workspace naming redesign"
"US-023","Adapt Template Documentation for Dynamic Project Names","developer","template documentation, including README.md and copilot-instructions.md, to automatically use my project name in their instructions","the documentation is relevant and accurate for my specific workspace","1. Template README.md uses a placeholder such as {{PROJECT_NAME}} that is replaced with the actual project name during creation. 2. copilot-instructions.md references the actual project folder name instead of hardcoded ""Project"". 3. The workspace root README.md reflects the TS-SAE-{name} folder structure. 4. NoAgentZone README.md remains generic and does not require dynamic names. 5. Placeholder replacement works correctly with special characters and spaces in project names within validation limits.","Done","DOC-001, DOC-002, DOC-003, DOC-004, FIX-044, DOC-005","v2.0.0 — Security audit remediation and workspace naming redesign"
"US-024","Fix Agent Workflow Restrictions in Project Folder","developer","AI agents to perform all standard development operations (search, edit, run, test) inside the project folder without security gate interference","the security gate protects restricted zones without impeding normal development workflow","1. grep_search file_search and semantic_search work for project folder scope. 2. python pip and venv commands execute inside project folder. 3. .venv directory creation is allowed. 4. All file tools work with absolute project paths consistently. 5. cat type and other read commands work in project folder. 6. get_errors works for project folder paths. 7. Terminal commands with absolute project paths work.","Done","FIX-021, FIX-022, FIX-023, FIX-024, FIX-025, FIX-026, FIX-027","All 7 WPs completed and merged to main."
"US-025","macOS Application Launch Compatibility","macOS developer","the AgentEnvironmentLauncher application to launch and run correctly on macOS 14+ with Apple Silicon","I can use the launcher to create project workspaces on my Mac","1. App launches without errors on macOS 14+ with M3/M2 chips. 2. Binary is properly code-signed (at minimum ad-hoc). 3. Embedded Python framework is signed. 4. DMG installer works correctly. 5. App passes codesign -v verification.","Done","FIX-028, FIX-029, FIX-030","All 3 WPs completed and merged to main. Version 2.0.1 released."
"US-026","Fix macOS Code Signing Build Failure","macOS developer","the macOS CI build to produce a properly signed application bundle","the application can be distributed and launched on macOS 14+","1. build_dmg.sh signs individual .dylib and .so files before signing the .app bundle. 2. Python.framework is signed with --deep as a valid nested bundle. 3. The .app bundle is signed WITHOUT --deep to avoid failing on the python3.11 stdlib directory. 4. codesign --verify --deep --strict passes after signing. 5. CI build completes without codesign errors.","Done","FIX-031, FIX-037, FIX-038, FIX-039","V2.1.0 — FIX-031 completed. Bottom-up signing implemented and tested. FIX-037 removes .dist-info dirs before codesign. FIX-038 removes bundle-level signing entirely — component-level signing only. FIX-039 skips launcher re-sign inside .app — verify pre-bundle binary."
"US-027","Sandbox python -c Inline Code Execution","security-conscious developer","python -c inline code to be scanned for dangerous patterns before execution is allowed","agents cannot use python -c to bypass security zones, access the filesystem outside the project, or exfiltrate data over the network","1. python -c with safe code (print, math) is allowed. 2. python -c referencing deny-zone paths (NoAgentZone, .github, .vscode) is denied. 3. python -c with base64/encoding obfuscation imports is denied. 4. python -c with network imports (urllib, requests, socket) is denied. 5. python -c with filesystem escape (expanduser, absolute paths, ..) is denied. 6. python -c referencing security infrastructure files is denied. 7. python -c with dynamic code execution (eval, exec, __import__) is denied. 8. Template copy is kept in sync. 9. Integrity hashes are updated.","Done","SAF-026, SAF-027","V2.1.0 — Both WPs completed. 81 tests + 25 edge-case tests passing."
"US-028","Fix Recursive Directory Enumeration Bypass","security-conscious developer","bare directory listing commands from the workspace root to be blocked or filtered when they would expose deny-zone contents","agents cannot enumerate restricted directory contents using commands with no explicit path argument","1. Get-ChildItem -Recurse with no path from workspace root is denied by SAF-006 ancestor check. 2. dir/ls with no path from workspace root is handled (deny or filtered). 3. Explicit project-folder directory listings remain allowed. 4. The fix uses the existing _is_ancestor_of_deny_zone infrastructure.","Done","SAF-028","V2.1.0 — SAF-028 completed. 37 tests passing."
"US-029","Improved Project Folder Usability","developer","PowerShell cmdlets, shell redirection, dot-prefix directories, environment variable assignment, and deferred tools to work correctly inside the project folder","development workflow limitations identified in the security audit are resolved","1. Shell redirection (> >>) to project folder files is allowed. 2. PowerShell write cmdlets (Set-Content, Add-Content, Out-File) work when target is in project folder. 3. Copy-Item and Move-Item work for project folder paths. 4. Dot-prefix paths (.venv, .env, .gitignore) inside project are allowed. 5. $env:VIRTUAL_ENV assignment pointing to project folder is allowed. 6. Venv activation scripts from project folder venvs are allowed. 7. Deferred tools (install_python_packages, configure_python_environment) are allowed.","Done","FIX-032, FIX-033, FIX-034, FIX-035","V2.1.0 — All WPs Done. Addresses usability limitations L4-L13 from Security Audit Report V2.0.0."
"US-030","Version 2.1.0 Release","developer","all V2.1.0 changes properly versioned and released","the release reflects the security audit remediation and macOS fix","1. Version bumped to 2.1.0 in all 5 locations. 2. Architecture doc updated. 3. All tests pass.","Done","FIX-036","V2.1.0 release. All WPs Done."
"US-031","Fix Windows In-App Update Restart","developer","the launcher to properly restart after an in-app update on Windows","I do not have to manually close and reopen the app after updating","1. After clicking Download & Install Update the old launcher process terminates. 2. The Inno Setup installer runs silently and relaunches the new version. 3. The new instance shows the correct updated version in the version label. 4. The UI shows a status message before exit indicating the app will restart.","Done","FIX-040, FIX-041","Windows 11 user-reported. BUG-073 BUG-074. All WPs Done."
"US-032","Bundled Python for Security Gate Execution","a developer who does not have Python installed","the launcher to provide its own Python runtime for the security gate","created workspaces are secure out of the box without requiring any prerequisites","1. The installer bundles the Python Embeddable Distribution (~15MB). 2. A ts-python shim is installed at a well-known fixed location and added to PATH. 3. The shim reads from a config file (python-path.txt) to locate the actual Python executable. 4. Created workspaces use ts-python in require-approval.json instead of bare python. 5. Reinstalling or moving the launcher updates python-path.txt — all existing workspaces continue working. 6. A ""Relocate Python"" option in the GUI allows updating the config after manual moves. 7. The launcher verifies ts-python accessibility before creating a workspace (fail-fast with helpful error).","Done","INS-018, INS-019, INS-020, GUI-018, SAF-034, INS-021, FIX-050, FIX-055, FIX-056, FIX-057",""
"US-033","Provide an Agent Rules Documentation Template","developer","a project template that includes a complete AGENT-RULES.md and directs agents to read it first","every generated workspace starts with clear, consistent agent permissions and operating rules","1. The coding template includes AGENT-RULES.md with {{PROJECT_NAME}} placeholders. 2. AGENT-RULES.md documents the allowed zone, denied zones, full tool permission matrix, terminal rules, git rules, session-scoped denial counter behavior, and known workarounds. 3. copilot-instructions.md directs agents to read AGENT-RULES.md before starting work. 4. Project creation replaces AGENT-RULES.md placeholders with the actual project values.","Done","DOC-007, DOC-008, DOC-009","v3.2 - Reconstructed from linked workpackages."
"US-034","Track Security Gate Denials Per Session","security-conscious developer","the security gate to count denied actions per session with configurable lockout behavior and a reset mechanism","repeated policy violations are contained without affecting future sessions unnecessarily","1. The security gate stores denial counts in a session-scoped state file such as .hook_state.json. 2. Denial responses show progressive messaging such as ""Block N of M"". 3. When the configured threshold is reached the session is locked out from further blocked attempts. 4. Workspace configuration can enable or disable the counter and set the lockout threshold, with a safe default of 20. 5. A reset_hook_counter.py script clears the stored session counter state. 6. The design is backed by documented handling for session identification, multi-agent coordination, and audit logging decisions.","Done","DOC-010, SAF-035, SAF-036, SAF-037, DOC-013, DOC-014","v3.2 - Reconstructed from linked workpackages."
"US-035","Allow Memory and LSP Tools in the Project Folder","developer","memory, directory creation, and VS Code symbol tools to work when they target the project folder","agents can organize context and perform code navigation or refactoring without leaving the allowed zone","1. create_directory is allowed when the target path is inside the project folder. 2. Memory tool operations scoped to project-folder content are allowed. 3. vscode_listCodeUsages is allowed for files in the project folder. 4. vscode_renameSymbol is allowed for files in the project folder. 5. Requests that target anything outside the project folder remain blocked.","Done","SAF-038, SAF-039","v3.2 - Reconstructed from linked workpackages."
"US-036","Expand the Allowed Terminal Command Set","developer","more safe terminal commands to be available inside the project folder","agents can complete common development tasks without unnecessary security denials","1. Read-only commands including more, less, diff, fc, comp, sort, uniq, awk, and sed are allowed when their effective targets stay within the project folder. 2. Shell utility commands including touch, chmod, and ln are allowed when their effective targets stay within the project folder. 3. The git command allowlist is expanded for approved workflows needed inside the project folder. 4. Destructive or bypass-prone git operations remain blocked. 5. Docker and container support feasibility is researched and captured for future implementation decisions.","Done","SAF-040, SAF-041, SAF-042, DOC-011","v3.2 - Reconstructed from linked workpackages."
"US-037","Limit Search Tools to the Project Folder","security-conscious developer","all supported search tools scoped strictly to the project folder","agents can find relevant project information without discovering files outside the allowed zone","1. file_search returns results from the project folder only. 2. semantic_search is scoped to the project folder only. 3. search_subagent is scoped to the project folder only. 4. grep_search enforces project-folder scoping and respects search.exclude coverage. 5. Search results do not reveal files or matches outside the project folder.","Done","SAF-043, SAF-044, SAF-045","v3.2 - Reconstructed from linked workpackages."
"US-038","Configure the Agent Block Counter in the Launcher GUI","developer","launcher controls for the denial counter so I can configure and reset it when creating or maintaining a workspace","I can manage the security gate lockout behavior without editing configuration files manually","1. The launcher GUI includes a counter threshold control and an enable or disable checkbox. 2. The selected counter settings are written into the workspace during project creation. 3. The launcher GUI includes a ""Reset Agent Blocks"" action. 4. Using the reset action clears the workspace's stored counter state.","Done","GUI-019, GUI-020, GUI-021","v3.2 - Reconstructed from linked workpackages."
"US-039","Choose Whether README Files Are Included During Project Creation","developer","a launcher option to include or omit README files when creating a project and to remember my preference","I can create a leaner workspace when I do not want template documentation copied in every time","1. The launcher GUI includes an ""Include README files"" checkbox. 2. The checkbox state is persisted in OS-appropriate user settings and restored on later launches. 3. create_project accepts an include_readmes parameter. 4. When include_readmes is false README.md files are skipped during project creation, and when true the current behavior is preserved.","Done","INS-022, GUI-022, INS-023","v3.2 - Reconstructed from linked workpackages."
"US-040","Windows Code Signing for Distribution","developer distributing the launcher","the Windows installer and executable to be Authenticode-signed","Windows SmartScreen does not flag the software as dangerous and users trust the download","1. The .exe installer is signed with a valid Authenticode certificate; 2. Windows SmartScreen does not show ""Windows protected your PC"" warning for signed builds; 3. Signature is verifiable via signtool verify /pa; 4. Signing is automated in the CI/CD pipeline release.yml windows-build job; 5. Certificate renewal process is documented","Open","DOC-016, INS-024, INS-025","Phase 1 - Windows code signing. macOS signing exists (US-025/026) but Windows has zero signing."
"US-041","Rename Templates to Product Presets","user","to choose between ""Agent Workbench"" and ""Certification Pipeline"" presets when creating a workspace","the template names clearly communicate their purpose and the product direction","1. templates/coding/ is renamed to templates/agent-workbench/; 2. templates/creative-marketing/ is renamed to templates/certification-pipeline/; 3. GUI dropdown shows ""Agent Workbench"" (selectable) and ""Certification Pipeline ...coming soon"" (greyed out); 4. All internal references (code, tests, docs) updated to new names; 5. Certification Pipeline remains a stub (README.md only) marked as coming soon; 6. Project creation with Agent Workbench produces identical workspace to former Coding template","Done","GUI-023, FIX-071, DOC-017","Phase 2 - Template renaming. Replaces ""Coding"" and ""Creative / Marketing"" naming."
"US-042","Programmer Agent for Agent Workbench","developer using Agent Workbench","a Programmer agent that writes and implements code","I can delegate coding tasks to a focused implementation specialist","1. programmer.agent.md exists in templates/agent-workbench/.github/agents/; 2. Agent has a clear persona as a practical coder focused on implementation; 3. Agent tools include read, edit, search, execute; 4. Agent is invokable in VS Code Copilot after workspace creation; 5. Agent follows project AGENT-RULES.md conventions","Done","DOC-018, DOC-019","Phase 3 - Agent Workbench agents. Casual name ""Programmer"" vs Pipeline future formal ""Developer""."
"US-043","Brainstormer Agent for Agent Workbench","developer using Agent Workbench","a Brainstormer agent that generates creative solutions and explores approaches","I can get diverse ideas before committing to an implementation","1. brainstormer.agent.md exists in templates/agent-workbench/.github/agents/; 2. Agent has a clear persona as a creative thinker that generates multiple approaches; 3. Agent tools include read and search (no edit - ideation only); 4. Agent explores trade-offs without premature commitment; 5. Agent is invokable in VS Code Copilot after workspace creation","Open","DOC-020","Phase 3 - Agent Workbench agents. Casual name ""Brainstormer"" vs Pipeline future formal ""Architect""."
"US-044","Tester Agent for Agent Workbench","developer using Agent Workbench","a Tester agent that writes and runs tests","my code is validated by a dedicated testing persona","1. tester.agent.md exists in templates/agent-workbench/.github/agents/; 2. Agent has a clear persona as quality-focused test writer; 3. Agent tools include read, edit, search, execute; 4. Agent writes unit and integration tests and finds edge cases; 5. Agent is invokable in VS Code Copilot after workspace creation","Open","DOC-021","Phase 3 - Agent Workbench agents. Casual name ""Tester"" vs Pipeline future formal ""Quality Engineer""."
"US-045","Researcher Agent for Agent Workbench","developer using Agent Workbench","a Researcher agent that investigates technologies and solutions","I can make informed technical decisions based on thorough investigation","1. researcher.agent.md exists in templates/agent-workbench/.github/agents/; 2. Agent has a clear persona as an investigator that evaluates and compares; 3. Agent tools include read, search, and fetch_webpage; 4. Agent produces structured summaries with pros and cons; 5. Agent is invokable in VS Code Copilot after workspace creation","Open","DOC-022","Phase 3 - Agent Workbench agents. Casual name ""Researcher"" vs Pipeline future formal ""Analyst""."
"US-046","Scientist Agent for Agent Workbench","developer using Agent Workbench","a Scientist agent that approaches problems with analytical rigor","I get data-driven insights and validated hypotheses","1. scientist.agent.md exists in templates/agent-workbench/.github/agents/; 2. Agent has a clear persona as analytical and hypothesis-driven; 3. Agent tools include read, edit, search, execute; 4. Agent runs benchmarks and experiments and documents findings with evidence; 5. Agent is invokable in VS Code Copilot after workspace creation","Open","DOC-023","Phase 3 - Agent Workbench agents. Casual name ""Scientist"" vs Pipeline future formal ""Data Engineer""."
"US-047","Criticist Agent for Agent Workbench","developer using Agent Workbench","a Criticist agent that reviews code and finds problems","I get honest constructive feedback before shipping","1. criticist.agent.md exists in templates/agent-workbench/.github/agents/; 2. Agent has a clear persona as a critical reviewer that identifies issues; 3. Agent tools include read and search only (does NOT fix - only identifies); 4. Agent finds bugs, security issues, and design flaws; 5. Agent is invokable in VS Code Copilot after workspace creation","Open","DOC-024","Phase 3 - Agent Workbench agents. Casual name ""Criticist"" vs Pipeline future formal ""Auditor""."
"US-048","Planner Agent for Agent Workbench","developer using Agent Workbench","a Planner agent that breaks down tasks and organizes work","complex projects are manageable with structured plans","1. planner.agent.md exists in templates/agent-workbench/.github/agents/; 2. Agent has a clear persona as an organizer that creates structured plans; 3. Agent tools include read and search (planning only - no implementation); 4. Agent identifies dependencies and produces actionable task lists; 5. Agent is invokable in VS Code Copilot after workspace creation","Open","DOC-025","Phase 3 - Agent Workbench agents. Casual name ""Planner"" vs Pipeline future formal ""Project Lead""."
"US-049","Fixer Agent for Agent Workbench","developer using Agent Workbench","a Fixer agent specialized in debugging and troubleshooting","bugs are efficiently diagnosed and resolved","1. fixer.agent.md exists in templates/agent-workbench/.github/agents/; 2. Agent has a clear persona as a debugger and root cause analyst; 3. Agent tools include read, edit, search, execute; 4. Agent reads errors, traces execution, and proposes and implements fixes; 5. Agent is invokable in VS Code Copilot after workspace creation","Open","DOC-026","Phase 3 - Agent Workbench agents. Casual name ""Fixer"" vs Pipeline future formal ""Diagnostician""."
"US-050","Writer Agent for Agent Workbench","developer using Agent Workbench","a Writer agent that creates documentation","my project has clear well-written docs without me writing them manually","1. writer.agent.md exists in templates/agent-workbench/.github/agents/; 2. Agent has a clear persona as a technical writer; 3. Agent tools include read, edit, search; 4. Agent creates READMEs, API docs, inline comments, and changelogs; 5. Agent adapts to project voice and structure; 6. Agent is invokable in VS Code Copilot after workspace creation","Open","DOC-027","Phase 3 - Agent Workbench agents. Casual name ""Writer"" vs Pipeline future formal ""Technical Writer""."
"US-051","Prototyper Agent for Agent Workbench","developer using Agent Workbench","a Prototyper agent that rapidly builds proof-of-concept implementations","I can validate ideas quickly before investing in production code","1. prototyper.agent.md exists in templates/agent-workbench/.github/agents/; 2. Agent has a clear persona as speed-focused MVP builder; 3. Agent tools include read, edit, search, execute; 4. Agent builds quick-and-dirty implementations that validate feasibility; 5. Agent trades perfection for speed; 6. Agent is invokable in VS Code Copilot after workspace creation","Open","DOC-028","Phase 3 - Agent Workbench agents. Casual name ""Prototyper"" (no Pipeline equivalent)."
